不重复的单词数：9351
文档中出现的单词：strange,其出现次数为:112;
文档中出现的单词：against,其出现次数为:110;
文档中出现的单词：big,其出现次数为:110;
文档中出现的单词：new,其出现次数为:109;
文档中出现的单词：its,其出现次数为:109;
文档中出现的单词：went,其出现次数为:109;
文档中出现的单词：much,其出现次数为:108;
文档中出现的单词：half,其出现次数为:107;
文档中出现的单词：lay,其出现次数为:107;
文档中出现的单词：round,其出现次数为:107;
文档中出现的单词：course,其出现次数为:106;
文档中出现的单词：Levy,其出现次数为:105;
文档中出现的单词：without,其出现次数为:105;
文档中出现的单词：where,其出现次数为:104;
文档中出现的单词：has,其出现次数为:104;
文档中出现的单词：am,其出现次数为:103;
文档中出现的单词：people,其出现次数为:103;
文档中出现的单词：Brundin,其出现次数为:103;
文档中出现的单词：because,其出现次数为:101;
文档中出现的单词：head,其出现次数为:100;
文档中出现的单词：death,其出现次数为:99;
文档中出现的单词：don,其出现次数为:98;
文档中出现的单词：room,其出现次数为:97;
文档中出现的单词：great,其出现次数为:97;
文档中出现的单词：bed,其出现次数为:97;
文档中出现的单词：always,其出现次数为:96;
文档中出现的单词：house,其出现次数为:94;
文档中出现的单词：say,其出现次数为:94;
文档中出现的单词：Poor,其出现次数为:93;
文档中出现的单词：almost,其出现次数为:91;
文档中出现的单词：such,其出现次数为:91;
文档中出现的单词：should,其出现次数为:90;
文档中出现的单词：longer,其出现次数为:90;
文档中出现的单词：business,其出现次数为:90;
文档中出现的单词：everything,其出现次数为:86;
文档中出现的单词：make,其出现次数为:86;
文档中出现的单词：take,其出现次数为:86;
文档中出现的单词：might,其出现次数为:86;
文档中出现的单词：Selamb,其出现次数为:86;
文档中出现的单词：black,其出现次数为:86;
文档中出现的单词：those,其出现次数为:85;
文档中出现的单词：took,其出现次数为:85;
文档中出现的单词：Ekbacken,其出现次数为:85;
文档中出现的单词：Perhaps,其出现次数为:83;
文档中出现的单词：got,其出现次数为:83;
文档中出现的单词：why,其出现次数为:83;
文档中出现的单词：water,其出现次数为:82;
文档中出现的单词：fear,其出现次数为:82;
文档中出现的单词：put,其出现次数为:81;
文档中出现的单词：dark,其出现次数为:81;
文档中出现的单词：know,其出现次数为:80;
文档中出现的单词：fine,其出现次数为:80;
文档中出现的单词：grew,其出现次数为:80;
文档中出现的单词：also,其出现次数为:80;
文档中出现的单词：these,其出现次数为:79;
文档中出现的单词：frightened,其出现次数为:79;
文档中出现的单词：anything,其出现次数为:78;
文档中出现的单词：saw,其出现次数为:77;
文档中出现的单词：think,其出现次数为:77;
文档中出现的单词：soon,其出现次数为:76;
文档中出现的单词：most,其出现次数为:75;
文档中出现的单词：wanted,其出现次数为:75;
文档中出现的单词：white,其出现次数为:75;
文档中出现的单词：things,其出现次数为:75;
文档中出现的单词：father,其出现次数为:75;
文档中出现的单词：during,其出现次数为:74;
文档中出现的单词：between,其出现次数为:74;
文档中出现的单词：door,其出现次数为:74;
文档中出现的单词：hands,其出现次数为:73;
文档中出现的单词：thousand,其出现次数为:73;
文档中出现的单词：being,其出现次数为:73;
文档中出现的单词：world,其出现次数为:73;
文档中出现的单词：under,其出现次数为:73;
文档中出现的单词：shall,其出现次数为:72;
文档中出现的单词：let,其出现次数为:72;
文档中出现的单词：light,其出现次数为:72;
文档中出现的单词：expression,其出现次数为:72;
文档中出现的单词：matter,其出现次数为:71;
文档中出现的单词：Dagmar,其出现次数为:70;
